house_size,price
1280,170000000
500,172500000
1000,139900000
500,110000000
1000,147500000
1000,450000000
500,85000000
1000,157500000
800,220000000
1000,145000000
500,170000000
500,125000000
500,105000000
1000,155000000
675,150000000
1000,139000000
440,83000000
1000,420000000
1010,125000000
500,105000000
1000,165000000
133,45000000
2000,500000000
500,110000000
